,Crypto,Date,Low,High,Open,Close,Volume
118,BTC,2020-07-04,9039.84,9195.84,9059.73,9138.51,5300.78823324
119,BTC,2020-07-03,9036.74,9126.12,9091.98,9063.87,7738.46972112
120,BTC,2020-07-02,8938.0,9265.0,9239.41,9091.53,10774.18558946
121,BTC,2020-07-01,9088.0,9297.2,9135.91,9239.97,7550.15999655
122,BTC,2020-06-30,9059.6,9201.0,9188.79,9136.2,6820.86740899
123,BTC,2020-06-29,9014.0,9236.75,9113.23,9184.45,8658.42672493
124,BTC,2020-06-28,8931.77,9189.0,9002.38,9113.24,5537.7575057
125,BTC,2020-06-27,8815.01,9188.14,9155.42,9002.46,8507.26840968
126,BTC,2020-06-26,9027.62,9291.73,9242.98,9155.42,10702.37319002
127,BTC,2020-06-25,8979.07,9335.0,9285.94,9243.51,13529.05626726
128,BTC,2020-06-24,9195.0,9663.38,9623.56,9285.91,13410.75869027
129,BTC,2020-06-23,9572.22,9724.53,9690.67,9623.56,7946.97355694
130,BTC,2020-06-22,9267.58,9792.0,9286.14,9690.74,11775.73858785
131,BTC,2020-06-21,9273.0,9419.35,9355.74,9286.14,3088.66849893
132,BTC,2020-06-20,9161.0,9391.71,9300.42,9355.74,6900.60934146
133,BTC,2020-06-19,9229.0,9430.0,9376.14,9301.91,7871.9637482
134,BTC,2020-06-18,9267.18,9482.66,9457.51,9376.14,6300.5664912
135,BTC,2020-06-17,9227.03,9558.48,9526.25,9457.51,8937.92623229
136,BTC,2020-06-16,9381.0,9592.04,9432.57,9526.25,10345.29526997
137,BTC,2020-06-15,8895.01,9499.0,9328.63,9432.53,18589.28586581
138,BTC,2020-06-14,9240.0,9481.0,9475.0,9325.0,4829.79726322
139,BTC,2020-06-13,9346.0,9494.45,9464.71,9475.0,4581.79206303
140,BTC,2020-06-12,9227.0,9552.87,9268.16,9464.17,10992.51647836
141,BTC,2020-06-11,9050.0,9973.25,9894.35,9268.16,26779.8793933
142,BTC,2020-06-10,9690.0,10018.67,9779.7,9894.04,12965.42597405
143,BTC,2020-06-09,9567.33,9886.0,9781.51,9779.41,10329.87714811
144,BTC,2020-06-08,9632.79,9815.0,9750.12,9781.51,8533.83614916
145,BTC,2020-06-07,9370.0,9822.0,9670.28,9750.12,11628.94527829
146,BTC,2020-06-06,9526.03,9735.13,9613.42,9671.7,6501.31731671
147,BTC,2020-06-05,9585.44,9855.0,9791.96,9613.21,12495.89785858
148,BTC,2020-06-04,9450.0,9888.0,9668.06,9788.03,12441.27298837
149,BTC,2020-06-03,9385.22,9695.0,9521.53,9668.07,11446.72193696
150,BTC,2020-06-02,9270.0,10237.6,10208.96,9522.46,33220.58268645
151,BTC,2020-06-01,9417.42,10428.0,9445.83,10208.96,21676.60828748
152,BTC,2020-05-31,9369.58,9705.6,9700.32,9446.57,7944.71669301
153,BTC,2020-05-30,9326.43,9764.0,9423.85,9700.33,10509.69814742
154,BTC,2020-05-29,9330.01,9609.02,9580.01,9423.84,10415.42644355
155,BTC,2020-05-28,9112.0,9625.0,9208.53,9580.19,14511.07649252
156,BTC,2020-05-27,8811.46,9230.0,8844.41,9208.53,10936.67835282
157,BTC,2020-05-26,8694.23,9016.99,8900.0,8844.42,11507.43097855
158,BTC,2020-05-25,8632.93,8977.0,8715.69,8899.31,12328.24203695
159,BTC,2020-05-24,8680.7,9306.23,9181.09,8715.73,13004.34567862
